fecha_index;semana;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct;entrada_mg_kg;entrada_mp_kg;cuba_fab_mg_kg;cuba_fab_mp_kg;balance_liquido_mg;balance_liquido_mp;perdida_mg_pct;perdida_mp_pct
2024-03-17;11;25003,0;24274,0;213,02;179,73;24385,0;204,23000000000002;170,07999999999998;23516,0;2875,2200000000003;273,38;143,75;1035,40947;872,3401;996,02545;829,5813999999999;-39,38402000000008;-42,75870000000009;-3,9541178390572327;-5,154250083234761
2024-03-24;12;27843,0;27032,0;208,91;181,0;27163,0;199,03;172,7;30659,0;3165,3;275,31;137,87;1129,9811;978,37459;1083,21866;937,08496;-46,76243999999997;-41,28962999999999;-4,316989886418682;-4,406177856061204
2024-03-31;13;25085,0;24356,0;214,01999999999998;180,70999999999998;24464,0;203,99;173,34;25180,0;2871,18;275,33;138,94;1040,93367;882,21647;998,37931;848,47376;-42,55435999999986;-33,74270999999999;-4,262343938197183;-3,9768713648846354
2024-04-07;14;26755,0;25975,0;211,81;175,79;26092,0;202,09;168,51;28675,0;3049,77;271,29;139,69;1100,1670100000001;912,8771899999999;1054,62731;879,69784;-45,53970000000004;-33,179349999999886;-4,318084651155112;-3,771675738114792
2024-04-14;15;26363,0;25596,0;210,54;175,06;25725,0;201,54000000000002;167,13;26416,0;3004,08;268,13;137,43;1075,18649;895,4109500000001;1036,66661;859,93021;-38,51988000000006;-35,48074000000008;-3,715744254558373;-4,126002271742504
2024-04-21;16;26434,0;25664,0;211,60999999999999;181,83999999999997;25794,0;202,71;173,76999999999998;27309,0;3071,21;274,01;141,43;1086,28301;933,2486099999999;1045,2737300000001;896,72971;-41,00927999999999;-36,51889999999992;-3,9233053336182078;-4,072453448653989
2024-04-28;17;25354,0;24615,0;211,54;172,98000000000002;24721,0;202,1;165,15;23201,0;2905,3199999999997;273,16;141,34;1040,9826;850,71258;999,6778099999999;816,6535200000001;-41,30479000000014;-34,05905999999993;-4,131810227937353;-4,1705642804306935
2024-05-05;18;25260,0;24523,0;211,07999999999998;178,22;24645,0;201,56;170,35;24429,0;2851,7799999999997;275,61;142,93;1034,76719;874,18939;993,23735;839,7230999999999;-41,529840000000036;-34,46629000000007;-4,181260400648449;-4,104482775333926
2024-05-12;19;25453,0;24711,0;209,88;176,05;24836,0;200,57;168,25;24272,0;2949,13;276,68;141,54;1037,08093;870,09506;996,41943;835,59578;-40,661500000000046;-34,49928;-4,0807614520323074;-4,128704431705005
2024-05-19;20;25820,0;25068,0;211,14;179,95;25206,0;201,74;171,78;25190,0;2975,15;273,82;138,95;1058,97768;902,2730300000001;1017,04044;866,0048400000001;-41,937239999999974;-36,268190000000004;-4,12345845362845;-4,187989295764213
2024-05-26;21;26207,0;25443,0;204,75;175,24;25567,0;196,07999999999998;167,03;29001,0;3018,98;276,52;141,91;1043,54037;890,3709;1002,33709;854,55708;-41,20327999999995;-35,813819999999964;-4,110720875349425;-4,1909219217983615
2024-06-02;22;26037,0;25278,0;212,01;178,35;25396,0;203,03;170,39000000000001;25475,0;2986,38;273,34;143,13;1072,02999;901,6175800000001;1031,55815;865,4474;-40,47183999999993;-36,17018000000007;-3,923369710180655;-4,179362027085652
2024-06-09;23;24893,0;24168,0;216,51999999999998;181,62;24293,0;206,68;173,11;23123,0;2905,54;273,43;138,6;1046,83859;877,46954;1003,63891;841,13029;-43,19968000000006;-36,339250000000106;-4,304305021414531;-4,320287883105495
2024-06-16;24;26234,0;25470,0;211,32999999999998;178,78;25593,0;202,37;170,60999999999999;26137,0;3013,36;272,96;139,7;1076,32586;911,11816;1035,34181;873,3141999999999;-40,984050000000025;-37,803960000000075;-3,9585042933792107;-4,328792546829089
2024-06-23;25;25956,0;25199,0;211,53;175,59;25331,0;201,99;167,52;26080,0;2974,75;275,65;142,33;1066,07537;884,83398;1023,18607;848,7341700000001;-42,88930000000005;-36,099809999999934;-4,1917400224184105;-4,253370640185246
2024-06-30;26;26165,0;25402,0;209,03;177,47;25547,0;199,62;169,76;26306,0;3067,98;277,69;140,58;1062,22313;901,4167;1020,1756399999999;867,4825000000001;-42,04749000000015;-33,93419999999992;-4,121593218987287;-3,9118022553769
2024-07-07;27;25503,0;24761,0;207,69;176,32999999999998;24879,0;199,4;168,01999999999998;24461,0;2911,12;276,12;140,35;1029,63638;872,6214399999999;992,11455;835,99982;-37,52182999999991;-36,62161999999989;-3,782005817775771;-4,380577498210454
2024-07-14;28;26293,0;25526,0;215,93;177,65;25648,0;206,13;169,98;26633,0;3024,8199999999997;275,38;141,19;1100,84806;906,44489;1057,7865;872,0308599999998;-43,0615600000001;-34,41403000000014;-4,070912230398109;-3,9464234098320947
2024-07-21;29;25627,0;24881,0;211,61;175,79000000000002;24998,0;201,79;168,31;24135,0;2920,14;280,52;140,56;1052,34308;874,05773;1008,94316;841,54707;-43,399920000000066;-32,51066000000003;-4,3015227934148506;-3,8632016150920747
2024-07-28;30;25763,0;25013,0;214,45;179,01999999999998;25120,0;206,03;171,78;26503,0;2929,41;276,18;143,01;1072,56266;895,1566;1035,08822;863,02197;-37,47443999999996;-32,134630000000016;-3,6204102487032417;-3,723500804967922
2024-08-04;31;25531,0;24788,0;217,4;180,92000000000002;24920,0;208,61;172,33999999999997;23889,0;2855,52;272,42;141,02;1077,57207;896,36023;1039,84407;858,9290699999999;-37,72799999999984;-37,43116000000009;-3,6282362989289183;-4,357887200161952
2024-08-11;32;25736,0;24987,0;213,09;179,04;25102,0;203,82999999999998;171,56;26075,0;2936,67;272,62;139,89;1064,7405899999999;894,81788;1023,29366;861,29861;-41,44692999999984;-33,51926999999989;-4,050345626103052;-3,8917130029967066
2024-08-18;33;25738,0;24988,0;209,01;179,26;25107,0;198,91;170,82;27308,0;2962,79;271,39;138,41;1043,65677;895,7097699999999;998,7957700000001;857,75548;-44,86099999999999;-37,9542899999999;-4,4915088096538485;-4,424837950321215
2024-08-25;34;25081,0;24352,0;208,8;178,2;24496,0;198,96;170,57;22490,0;2896,85;276,61;138,82;1016,38349;868,03407;975,24793;835,57953;-41,135560000000055;-32,454540000000065;-4,217959221918067;-3,8840755230085717
2024-09-01;35;25460,0;24718,0;209,75;178,64;24848,0;199,64000000000001;169,9;24978,0;2901,81;276,18;138,59;1037,7631099999999;883,96317;992,3060700000001;844,27232;-45,45703999999978;-39,690849999999955;-4,580949504823625;-4,701190487922186
2024-09-08;36;25265,0;24529,0;217,23000000000002;174,91;24647,0;206,96;166,93;24270,0;2893,52;275,58;139,77;1065,18889;857,54358;1020,4551200000001;822,76163;-44,73376999999982;-34,78195000000005;-4,3837077322910405;-4,227463791669533
2024-09-15;37;25830,0;25078,0;208,93;178,34;25199,0;200,19;171,5;26007,0;2980,84;276,54;139,71;1046,94545;895,53466;1008,97206;864,24758;-37,97338999999988;-31,28708000000006;-3,7635720061465214;-3,62015245677634
2024-09-22;38;25028,0;24299,0;209,01;179,01999999999998;24418,0;198,63;170,91;22337,0;2919,16;272,86;139,44;1014,59714;869,57538;970,07302;834,66626;-44,524119999999925;-34,90912000000003;-4,589769953606164;-4,182404593663583
2024-09-29;39;26672,0;25896,0;212,73000000000002;175,72;26029,0;202,51;168,11;26677,0;3064,71;273,99;137,18;1101,9079900000002;908,9681700000001;1054,18634;874,49459;-47,72165000000018;-34,473580000000084;-4,526870458215213;-3,94211472480351
2024-10-06;40;24662,0;23944,0;210,66;176,29;24065,0;200,93;168,0;21035,0;2850,93;274,92;138,67;1009,7250300000001;843,97284;966,02525;808,53776;-43,69978000000003;-35,43507999999997;-4,523668506594422;-4,3826128788344985
2024-10-13;41;25263,0;24526,0;212,71;178,57;24653,0;203,16;170,79000000000002;23629,0;2851,18;273,52;138,24;1043,4526;875,7997799999999;1001,74437;842,08693;-41,70823000000007;-33,71284999999989;-4,16356021047566;-4,003488095938016
2024-10-20;42;26704,0;25926,0;211,22;180,42000000000002;26031,0;201,33;172,17000000000002;27804,0;3071,44;272,06;143,47;1095,3019;935,58105;1048,55414;896,3463899999999;-46,74775999999997;-39,234660000000076;-4,458306749902296;-4,377176104876161
2024-10-27;43;26116,0;25356,0;209,22;178,75;25484,0;198,98;170,57999999999998;27985,0;2964,77;277,77;139,67;1059,7610200000001;906,4966199999999;1014,33116;869,4889499999999;-45,42986000000019;-37,00766999999996;-4,4787996062351265;-4,25625535551659
2024-11-03;44;25937,0;25182,0;213,51;179,15;25300,0;203,91;170,55;26466,0;2945,09;278,88;137,96;1074,5420100000001;901,54519;1031,79656;863,0285;-42,74545000000012;-38,51669000000004;-4,142817650022027;-4,462968488294424
2024-11-10;45;24947,0;24220,0;213,7;180,12;24322,0;204,69;172,78;22688,0;2840,19;271,65999999999997;140,07;1035,48889;872,2519199999999;995,87336;840,10702;-39,615530000000035;-32,14489999999989;-3,977968644527255;-3,8262863224259083
2024-11-17;46;26003,0;25245,0;215,85;179,84;25349,0;206,75;171,64;25088,0;2954,95;274,5;138,91;1090,37367;907,9345000000001;1048,3923100000002;870,17157;-41,98135999999977;-37,7629300000001;-4,004355964800978;-4,339710845758854
2024-11-24;47;26170,0;25408,0;207,93;179,98;25533,0;199,19;172,39;27141,0;3053,38;273,84;140,82999999999998;1056,93495;913,41223;1017,18146;880,3322499999999;-39,753490000000056;-33,07998000000009;-3,9082004109669928;-3,757669902471492
2024-12-01;48;25337,0;24599,0;209,57;180,9;24714,0;199,63;172,7;25282,0;2902,89;274,62;141,28;1032,33873;889,72939;986,88822;853,41261;-45,450509999999895;-36,316779999999994;-4,60543646979593;-4,255477312433899
2024-12-08;49;25872,0;25117,0;209,05;177,34;25246,0;198,55;169,15;24157,0;2927,63;274,6;143,66;1049,75234;890,75224;1002,43398;854,0614400000001;-47,318359999999984;-36,69079999999997;-4,7203467703678585;-4,29603753097669
2024-12-15;50;24914,0;24189,0;212,39;180,89999999999998;24290,0;203,05;173,22;20854,0;2822,43;276,04;139,36;1026,24106;876,86806;986,85171;840,7789;-39,389350000000036;-36,08915999999999;-3,991415285686644;-4,292348440237974
2024-12-22;51;25040,0;24311,0;211,18;176,7;24426,0;202,26;168,97;23311,0;2869,87;278,21;142,38;1027,38171;859,49368;987,96372;825,51278;-39,417990000000145;-33,98090000000002;-3,989821610048611;-4,116338453294451
