fecha;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct
03/02/2024;;;;;;;;;;;
04/02/2024;5172,0;5021,0;41,87;35,18;;;;5021,0;;;
05/02/2024;5484,0;5324,0;42,85;35,87;5024,0;40,55;33,99;5345,0;599,65;55,42;26,9
06/02/2024;4875,0;4733,0;43,5;36,66;5024,0;40,88;34,57;5078,0;591,79;53,15;27,49
07/02/2024;4908,0;4765,0;43,52;34,46;5033,0;40,74;33,54;4843,0;569,19;54,32;27,95
08/02/2024;5346,0;5190,0;42,41;34,62;5028,0;40,83;33,38;5033,0;588,43;53,9;28,82
09/02/2024;;;;;5063,0;40,49;33,69;;621,4;54,59;27,33
10/02/2024;;;;;;;;;;;
11/02/2024;5059,0;4912,0;43,69;35,23;;;;4912,0;;;
12/02/2024;5135,0;4985,0;41,22;34,66;5031,0;40,51;33,41;4897,0;587,24;55,24;28,36
13/02/2024;4862,0;4720,0;42,85;35,78;5015,0;40,59;33,86;4617,0;617,22;53,77;28,92
14/02/2024;5876,0;5705,0;41,9;35,94;5019,0;40,29;34,31;5322,0;569,76;55,39;28,43
15/02/2024;5225,0;5073,0;41,34;34,57;5034,0;39,79;33,54;5395,0;625,41;57,22;28,49
16/02/2024;;;;;5420,0;40,34;33,61;;659,87;53,35;27,27
17/02/2024;;;;;;;;;;;
18/02/2024;5353,0;5197,0;42,35;35,08;;;;5197,0;;;
19/02/2024;5466,0;5307,0;41,84;36,59;5027,0;40,43;34,36;5504,0;591,79;55,08;26,04
20/02/2024;5369,0;5213,0;44,99;35,11;5036,0;41,43;33,69;5717,0;597,64;55,79;27,63
21/02/2024;5361,0;5205,0;43,51;35,53;5019,0;41,48;33,96;5922,0;588,41;56,24;28,49
22/02/2024;5659,0;5494,0;45,09;36,08;5029,0;42,41;34,12;6416,0;591,25;54,87;29,68
23/02/2024;;;;;6452,0;42,18;34,18;;748,28;55,38;27,14
24/02/2024;;;;;;;;;;;
25/02/2024;5036,0;4889,0;41,37;35,72;;;;4889,0;;;
26/02/2024;5277,0;5123,0;41,6;36,96;5030,0;39,48;34,59;5012,0;614,18;54,03;27,03
27/02/2024;5381,0;5224,0;42,04;35,94;5022,0;39,62;34,53;5236,0;593,28;56,08;29,32
28/02/2024;5316,0;5161,0;40,47;35,46;5033,0;39,21;34,28;5397,0;592,68;54,82;27,94
29/02/2024;5410,0;5252,0;45,65;36,89;5016,0;41,44;34,79;5649,0;618,55;54,91;27,55
01/03/2024;;;;;5678,0;41,27;34,56;;667,99;55,32;27,6
02/03/2024;;;;;;;;;;;
03/03/2024;4721,0;4583,0;41,14;35,47;;;;4583,0;;;
04/03/2024;5512,0;5351,0;41,5;35,25;5024,0;39,64;33,88;4934,0;614,09;55,21;27,37
05/03/2024;5225,0;5073,0;41,39;35,1;5015,0;39,63;33,66;5007,0;588,01;54,59;27,2
06/03/2024;5415,0;5257,0;42,37;35,3;5028,0;40,0;33,58;5264,0;580,6;56,64;28,59
07/03/2024;5202,0;5050,0;42,75;34,76;5037,0;40,22;33,44;5314,0;575,17;54,12;28,38
08/03/2024;;;;;5342,0;40,63;33,31;;631,63;51,92;28,74
09/03/2024;;;;;;;;;;;
10/03/2024;5865,0;5694,0;41,47;37,0;;;;5694,0;;;
11/03/2024;4672,0;4536,0;43,17;34,76;5030,0;40,42;34,51;5230,0;580,45;54,31;27,31
12/03/2024;4756,0;4617,0;41,53;35,31;5026,0;40,02;34,08;4847,0;617,48;53,63;28,88
13/03/2024;4954,0;4810,0;43,81;35,97;5030,0;40,51;34,24;4657,0;594,81;54,81;27,65
14/03/2024;5388,0;5231,0;41,44;36,89;5033,0;40,13;34,71;4888,0;598,48;53,98;28,34
15/03/2024;;;;;4907,0;40,26;34,65;;564,96;58,29;30,32
16/03/2024;;;;;;;;;;;
17/03/2024;4658,0;4522,0;41,07;37,49;;;;4522,0;;;
18/03/2024;5588,0;5425,0;44,83;36,02;5016,0;41,2;34,41;4947,0;583,75;53,76;28,68
19/03/2024;5153,0;5003,0;41,1;35,48;5021,0;40,46;34,19;4950,0;596,97;55,52;29,62
20/03/2024;5019,0;4873,0;42,63;35,62;5028,0;40,64;34,01;4823,0;595,98;54,62;27,71
21/03/2024;4585,0;4451,0;43,39;35,12;5029,0;41,08;33,6;4274,0;589,51;55,01;29,29
22/03/2024;;;;;4291,0;40,85;33,87;;509,01;54,47;28,45
23/03/2024;;;;;;;;;;;
24/03/2024;5473,0;5314,0;38,11;37,92;;;;5314,0;;;
25/03/2024;5828,0;5658,0;41,38;36,46;5024,0;38,46;35,43;5972,0;590,37;55,2;28,35
26/03/2024;5181,0;5030,0;41,74;36,13;5025,0;38,41;34,89;6002,0;593,97;55,14;27,02
27/03/2024;5497,0;5337,0;44,32;34,99;5017,0;40,6;34,32;6339,0;582,44;54,37;27,25
28/03/2024;5864,0;5693,0;43,36;35,5;5024,0;40,79;34,07;7032,0;585,67;55,13;28,07
29/03/2024;;;;;7073,0;40,77;33,99;;812,85;55,47;27,18
30/03/2024;;;;;;;;;;;
31/03/2024;5578,0;5416,0;40,66;37,63;;;;5416,0;;;
01/04/2024;5232,0;5080,0;44,66;36,79;5020,0;40,46;35,52;5496,0;599,21;55,4;27,83
02/04/2024;4603,0;4469,0;45,05;35,16;5022,0;41,78;34,71;4965,0;567,75;56,17;27,81
03/04/2024;5131,0;4982,0;41,37;36,26;5020,0;40,66;34,93;4947,0;574,93;54,19;28,27
04/04/2024;4541,0;4409,0;42,28;34,87;5027,0;40,75;34,07;4356,0;602,51;55,0;27,25
05/04/2024;;;;;4375,0;40,34;34,11;;526,78;54,57;27,78
06/04/2024;;;;;;;;;;;
07/04/2024;5522,0;5361,0;43,06;34,6;;;;5361,0;;;
08/04/2024;5299,0;5145,0;42,79;35,21;5023,0;40,81;33,33;5506,0;588,38;53,72;27,87
09/04/2024;5512,0;5351,0;40,83;35,01;5025,0;40,12;33,53;5857,0;575,77;53,42;28,22
10/04/2024;5273,0;5119,0;42,68;34,28;5028,0;40,34;33,48;5976,0;582,39;54,25;26,54
11/04/2024;5149,0;4999,0;42,45;36,69;5012,0;40,36;34,11;5975,0;598,07;55,36;28,0
12/04/2024;;;;;6004,0;40,46;34,06;;705,16;54,54;29,06
13/04/2024;;;;;;;;;;;
14/04/2024;4789,0;4650,0;42,4;35,7;;;;4650,0;;;
15/04/2024;5749,0;5582,0;39,68;35,45;5025,0;39,29;33,81;5232,0;576,1;53,0;26,97
16/04/2024;5065,0;4917,0;45,28;34,0;5028,0;41,45;33,26;5149,0;602,51;54,44;27,27
17/04/2024;5809,0;5640,0;40,87;33,96;5019,0;40,45;33,05;5789,0;590,4;54,23;28,8
18/04/2024;4951,0;4807,0;42,31;35,95;5023,0;40,47;33,51;5596,0;584,43;52,73;26,78
19/04/2024;;;;;5630,0;39,88;33,5;;650,64;53,73;27,61
20/04/2024;;;;;;;;;;;
21/04/2024;5325,0;5170,0;42,3;35,58;;;;5170,0;;;
22/04/2024;5362,0;5206,0;43,15;36,72;5026,0;40,96;34,6;5376,0;594,22;53,84;28,14
23/04/2024;5178,0;5027,0;43,22;36,33;5027,0;41,24;34,51;5403,0;603,55;55,13;29,09
24/04/2024;5452,0;5293,0;41,97;36,3;5027,0;40,59;34,61;5696,0;600,5;56,44;28,83
25/04/2024;5117,0;4968,0;40,97;36,91;5015,0;40,08;34,87;5664,0;593,83;54,32;26,88
26/04/2024;;;;;5699,0;39,84;35,18;;679,11;54,28;28,49
27/04/2024;;;;;;;;;;;
28/04/2024;4778,0;4639,0;43,3;36,06;;;;4639,0;;;
29/04/2024;5101,0;4952,0;42,77;34,02;5026,0;41,17;33,45;4591,0;589,28;54,57;28,08
30/04/2024;4988,0;4843,0;43,98;35,08;5021,0;41,77;33,63;4434,0;598,5;53,64;28,17
01/05/2024;5653,0;5488,0;41,37;33,7;5021,0;40,64;32,64;4922,0;582,97;55,14;27,58
02/05/2024;4834,0;4693,0;40,12;34,12;5018,0;39,26;32,7;4615,0;568,64;55,13;28,16
03/05/2024;;;;;4635,0;39,26;32,73;;565,93;54,68;29,35
04/05/2024;;;;;;;;;;;
05/05/2024;5238,0;5085,0;41,15;35,76;;;;5085,0;;;
06/05/2024;5145,0;4995,0;40,63;35,35;5027,0;39,01;33,98;5080,0;579,64;54,88;27,91
07/05/2024;5045,0;4898,0;43,68;36,63;5026,0;40,32;34,68;4978,0;574,92;53,85;29,06
08/05/2024;4929,0;4785,0;43,07;35,12;5024,0;40,73;33,78;4763,0;591,78;56,74;28,76
09/05/2024;4903,0;4760,0;42,55;35,36;5020,0;40,67;33,98;4523,0;569,36;55,77;28,23
10/05/2024;;;;;4548,0;40,83;33,93;;536,08;54,37;28,97
11/05/2024;;;;;;;;;;;
12/05/2024;5352,0;5196,0;42,38;34,37;;;;5196,0;;;
13/05/2024;5000,0;4854,0;43,78;35,24;5029,0;41,68;33,32;5050,0;630,45;55,47;28,57
14/05/2024;4680,0;4544,0;41,51;34,88;5024,0;40,4;33,22;4594,0;586,94;56,47;28,0
15/05/2024;5281,0;5127,0;40,27;35,58;5024,0;39,3;33,78;4721,0;577,41;55,87;27,97
16/05/2024;5140,0;4990,0;41,94;35,98;5018,0;39,56;33,81;4711,0;590,14;55,31;28,1
17/05/2024;;;;;4741,0;39,63;34,12;;564,19;53,56;28,9
18/05/2024;;;;;;;;;;;
19/05/2024;5193,0;5042,0;43,26;36,13;;;;5042,0;;;
20/05/2024;5120,0;4971,0;42,0;35,47;5030,0;40,64;33,86;5013,0;602,97;55,26;28,33
21/05/2024;5298,0;5144,0;40,92;35,5;5035,0;39,85;34,08;5157,0;601,29;55,93;29,22
22/05/2024;4896,0;4753,0;41,08;36,02;5030,0;39,41;34,32;4910,0;585,14;54,95;26,62
23/05/2024;5313,0;5158,0;43,88;36,83;5021,0;40,89;34,64;5068,0;598,6;52,6;28,04
24/05/2024;;;;;5090,0;40,95;34,88;;587,15;55,08;26,74
25/05/2024;;;;;;;;;;;
26/05/2024;5769,0;5601,0;39,73;35,1;;;;5601,0;;;
27/05/2024;5206,0;5054,0;42,1;32,12;5027,0;39,4;31,97;5655,0;597,62;54,94;27,51
28/05/2024;5699,0;5533,0;43,09;34,97;5018,0;40,05;32,84;6188,0;600,93;53,84;27,8
29/05/2024;5074,0;4926,0;40,6;36,38;5026,0;39,72;33,57;6114,0;616,52;55,26;29,01
30/05/2024;4459,0;4329,0;39,23;36,67;5029,0;38,35;34,2;5443,0;575,84;55,47;28,83
31/05/2024;;;;;5467,0;38,56;34,45;;628,07;57,01;28,76
01/06/2024;;;;;;;;;;;
02/06/2024;4921,0;4778,0;40,35;35,47;;;;4778,0;;;
03/06/2024;5525,0;5364,0;41,6;34,85;5026,0;39,35;33,71;5142,0;606,53;55,37;29,02
04/06/2024;5068,0;4920,0;43,03;35,69;5024,0;40,49;33,59;5062,0;591,29;52,65;27,27
05/06/2024;5308,0;5153,0;41,72;37,27;5026,0;39,92;34,67;5215,0;572,16;56,75;28,26
06/06/2024;5215,0;5063,0;45,31;35,07;5019,0;41,45;34,33;5278,0;586,25;54,21;28,23
07/06/2024;;;;;5301,0;41,82;34,09;;630,15;54,36;30,35
08/06/2024;;;;;;;;;;;
09/06/2024;5180,0;5029,0;42,93;36,67;;;;5029,0;;;
10/06/2024;5125,0;4976,0;41,93;36,11;5038,0;40,64;34,57;5005,0;586,84;54,56;27,71
11/06/2024;4878,0;4736,0;43,65;35,56;5020,0;41,09;34,63;4741,0;599,9;54,05;28,42
12/06/2024;4572,0;4439,0;42,66;37,45;5021,0;41,01;34,98;4180,0;606,45;53,51;27,71
13/06/2024;5138,0;4988,0;45,35;35,83;5025,0;41,97;34,38;4168,0;596,99;55,81;28,05
14/06/2024;;;;;4189,0;41,97;34,55;;515,36;55,5;26,71
15/06/2024;;;;;;;;;;;
16/06/2024;5215,0;5063,0;45,71;36,09;;;;5063,0;;;
17/06/2024;4953,0;4809,0;42,15;35,01;5027,0;42,25;34,04;4872,0;609,99;56,71;27,07
18/06/2024;5554,0;5392,0;41,39;36,36;5022,0;40,86;34,21;5264,0;606,54;52,63;27,53
19/06/2024;5360,0;5204,0;41,87;35,82;5022,0;40,48;34,3;5468,0;589,69;54,77;28,99
20/06/2024;5152,0;5002,0;40,21;35,5;5029,0;39,39;33,87;5470,0;577,8;54,3;27,48
21/06/2024;;;;;5493,0;39,39;34,19;;629,34;54,55;28,63
22/06/2024;;;;;;;;;;;
23/06/2024;5245,0;5092,0;43,35;34,03;;;;5092,0;;;
24/06/2024;5494,0;5334,0;42,25;35,12;5026,0;40,83;33,11;5426,0;590,08;57,32;27,66
25/06/2024;4933,0;4789,0;41,95;35,51;5027,0;40,43;33,59;5215,0;585,62;54,69;29,17
26/06/2024;5081,0;4933,0;43,27;34,76;5028,0;41,05;33,32;5148,0;598,27;52,76;28,91
27/06/2024;5203,0;5051,0;40,71;36,17;5023,0;39,97;33,77;5199,0;592,39;55,11;28,51
28/06/2024;;;;;5227,0;39,71;33,73;;608,39;55,77;28,08
29/06/2024;;;;;;;;;;;
30/06/2024;5429,0;5271,0;41,57;35,82;;;;5271,0;;;
01/07/2024;5212,0;5060,0;41,02;34,75;5033,0;39,44;33,71;5331,0;616,84;55,89;27,62
02/07/2024;5033,0;4886,0;40,53;36,24;5021,0;39,42;34,06;5217,0;600,51;54,6;29,61
03/07/2024;5014,0;4868,0;42,91;35,62;5034,0;39,89;33,99;5085,0;611,37;56,18;27,56
04/07/2024;5477,0;5317,0;43,0;35,04;5027,0;40,36;33,77;5402,0;578,29;55,18;26,87
05/07/2024;;;;;5432,0;40,51;34,23;;660,97;55,84;28,92
06/07/2024;;;;;;;;;;;
07/07/2024;5363,0;5207,0;40,3;36,19;;;;5207,0;;;
08/07/2024;4678,0;4542,0;39,41;36,33;5015,0;38,37;34,84;4749,0;591,46;54,75;28,16
09/07/2024;5295,0;5141,0;44,6;33,31;5025,0;40,34;32,9;4890,0;568,78;55,14;27,23
10/07/2024;5113,0;4964,0;41,4;34,72;5030,0;40,11;33,05;4854,0;581,68;55,33;28,41
11/07/2024;5054,0;4907,0;41,98;35,78;5030,0;40,38;33,55;4761,0;594,42;57,27;28,13
12/07/2024;;;;;4779,0;40,2;33,68;;574,78;53,63;28,42
13/07/2024;;;;;;;;;;;
14/07/2024;5340,0;5184,0;41,27;37,33;;;;5184,0;;;
15/07/2024;4968,0;4823,0;45,03;34,15;5025,0;40,82;34,16;5007,0;583,32;55,34;28,78
16/07/2024;5329,0;5174,0;42,84;34,74;5021,0;41,14;33,91;5181,0;618,78;54,61;26,36
17/07/2024;5721,0;5554,0;42,28;34,41;5023,0;40,84;33,19;5735,0;576,54;56,12;28,44
18/07/2024;4935,0;4791,0;44,51;37,02;5031,0;41,3;34,54;5526,0;573,29;53,63;28,69
19/07/2024;;;;;5548,0;42,03;34,18;;672,89;55,68;28,92
20/07/2024;;;;;;;;;;;
21/07/2024;4996,0;4850,0;42,06;35,88;;;;4850,0;;;
22/07/2024;5161,0;5011,0;43,57;35,15;5023,0;40,57;34,06;4861,0;587,76;57,44;27,34
23/07/2024;5158,0;5008,0;42,25;34,74;5021,0;40,49;33,64;4869,0;575,52;56,98;27,48
24/07/2024;4949,0;4805,0;43,65;36,49;5020,0;41,37;34,28;4674,0;588,56;55,66;28,16
25/07/2024;5363,0;5207,0;40,08;33,53;5029,0;39,69;33,25;4881,0;577,21;55,3;29,28
26/07/2024;;;;;4905,0;39,67;33,08;;591,09;55,14;28,3
27/07/2024;;;;;;;;;;;
28/07/2024;5382,0;5225,0;43,3;36,14;;;;5225,0;;;
29/07/2024;5562,0;5400,0;42,55;34,96;5017,0;41,12;34,55;5625,0;592,47;55,99;27,56
30/07/2024;5022,0;4876,0;44,1;36,39;5022,0;41,98;34,27;5501,0;566,3;55,14;27,2
31/07/2024;4777,0;4638,0;43,79;36,16;5024,0;41,96;34,51;5139,0;590,85;55,32;28,15
01/08/2024;5020,0;4874,0;40,71;35,37;5020,0;40,43;34,13;5013,0;584,58;54,94;29,58
02/08/2024;;;;;5037,0;40,54;34,32;;595,21;54,79;30,52
03/08/2024;;;;;;;;;;;
04/08/2024;5158,0;5008,0;43,26;35,56;;;;5008,0;;;
05/08/2024;4798,0;4658,0;44,71;37,0;5023,0;42,1;34,72;4666,0;594,72;54,33;29,85
06/08/2024;5094,0;4946,0;44,04;37,09;5022,0;41,9;34,83;4612,0;574,25;54,42;27,6
07/08/2024;5359,0;5203,0;44,35;35,03;5030,0;42,44;33,87;4815,0;547,1;54,37;29,04
08/08/2024;5122,0;4973,0;41,04;36,24;5028,0;41,08;34,41;4788,0;599,58;53,95;28,59
09/08/2024;;;;;4817,0;41,09;34,51;;539,87;55,35;25,94
10/08/2024;;;;;;;;;;;
11/08/2024;5355,0;5199,0;43,28;36,15;;;;5199,0;;;
12/08/2024;5436,0;5278,0;41,2;36,23;5023,0;40,26;34,66;5477,0;591,8;55,07;27,86
13/08/2024;5038,0;4891,0;41,26;33,77;5021,0;39,42;33,67;5368,0;582,74;54,97;28,17
14/08/2024;4816,0;4676,0;42,32;36,75;5024,0;40,23;34,25;5044,0;572,58;53,8;27,95
15/08/2024;5091,0;4943,0;45,03;36,14;5022,0;41,73;34,46;4987,0;602,99;54,66;27,83
16/08/2024;;;;;5012,0;42,19;34,52;;586,56;54,12;28,08
17/08/2024;;;;;;;;;;;
18/08/2024;5834,0;5664,0;40,27;35,48;;;;5664,0;;;
19/08/2024;5096,0;4948,0;40,72;36,78;5033,0;38,98;34,13;5612,0;605,43;52,64;26,09
20/08/2024;5203,0;5051,0;44,31;35,74;5021,0;40,31;34,32;5663,0;585,48;55,02;28,73
21/08/2024;4860,0;4718,0;41,65;35,55;5016,0;39,81;34,36;5381,0;587,15;54,29;26,92
22/08/2024;4745,0;4607,0;42,06;35,71;5026,0;39,87;34,04;4988,0;600,51;54,81;28,04
23/08/2024;;;;;5011,0;39,94;33,97;;584,22;54,63;28,63
24/08/2024;;;;;;;;;;;
25/08/2024;4786,0;4647,0;43,92;35,51;;;;4647,0;;;
26/08/2024;5023,0;4877,0;41,85;34,81;5031,0;40,86;33,64;4524,0;605,44;55,99;28,27
27/08/2024;5118,0;4969,0;41,53;36,32;5034,0;39,96;34,11;4493,0;601,48;54,79;26,9
28/08/2024;5130,0;4981,0;41,41;35,99;5030,0;39,68;34,32;4474,0;587,74;54,84;28,24
29/08/2024;5024,0;4878,0;40,09;35,57;5028,0;39,43;34,27;4352,0;594,02;53,86;28,46
30/08/2024;;;;;4373,0;39,03;34,23;;508,17;57,13;26,95
31/08/2024;;;;;;;;;;;
01/09/2024;5624,0;5460,0;43,12;36,57;;;;5460,0;;;
02/09/2024;4866,0;4724,0;41,12;34,63;5021,0;39,93;34,06;5184,0;587,42;54,59;27,86
03/09/2024;4962,0;4817,0;43,7;36,53;5028,0;40,93;33,98;5001,0;570,34;56,61;29,25
04/09/2024;4752,0;4614,0;40,7;35,01;5025,0;39,77;33,88;4615,0;589,49;53,3;26,03
05/09/2024;5256,0;5103,0;41,11;35,9;5029,0;39,7;33,78;4718,0;588,12;55,07;27,37
06/09/2024;;;;;4745,0;39,31;34,2;;566,44;56,61;28,08
07/09/2024;;;;;;;;;;;
08/09/2024;5398,0;5241,0;43,33;34,15;;;;5241,0;;;
09/09/2024;5051,0;4904,0;43,53;34,64;5024,0;41,19;33,03;5145,0;597,87;56,21;27,87
10/09/2024;4761,0;4622,0;44,27;35,95;5019,0;41,98;33,67;4767,0;600,62;56,17;27,88
11/09/2024;4966,0;4821,0;45,09;34,85;5026,0;42,38;33,13;4588,0;589,35;54,3;29,45
12/09/2024;5089,0;4941,0;41,01;35,32;5030,0;40,59;33,5;4529,0;589,43;52,13;27,16
13/09/2024;;;;;4548,0;40,82;33,6;;516,25;56,77;27,41
14/09/2024;;;;;;;;;;;
15/09/2024;5383,0;5226,0;40,97;38,21;;;;5226,0;;;
16/09/2024;5392,0;5235,0;39,29;35,85;5020,0;39,02;35,48;5461,0;579,19;55,1;28,36
17/09/2024;4949,0;4805,0;43,66;35,31;5023,0;39,88;35,14;5266,0;590,96;57,6;27,63
18/09/2024;4851,0;4710,0;41,72;34,12;5029,0;39,9;33,78;4976,0;591,89;55,25;28,79
19/09/2024;5255,0;5102,0;43,29;34,85;5032,0;40,71;33,72;5078,0;621,32;53,43;26,61
20/09/2024;;;;;5095,0;40,68;33,38;;597,48;55,16;28,32
21/09/2024;;;;;;;;;;;
22/09/2024;4628,0;4493,0;43,36;36,32;;;;4493,0;;;
23/09/2024;5494,0;5334,0;40,49;34,93;5029,0;39,78;33,96;4827,0;604,8;56,68;26,95
24/09/2024;4748,0;4610,0;42,12;35,3;5027,0;39,74;33,88;4437,0;589,19;54,55;27,53
25/09/2024;4989,0;4844,0;40,58;36,29;5022,0;39,31;34,43;4281,0;593,39;52,99;28,38
26/09/2024;5169,0;5018,0;42,46;36,18;5015,0;40,14;34,48;4299,0;621,85;54,2;28,86
27/09/2024;;;;;4325,0;39,66;34,16;;509,93;54,44;27,72
28/09/2024;;;;;;;;;;;
29/09/2024;5368,0;5212,0;43,59;35,43;;;;5212,0;;;
30/09/2024;5094,0;4946,0;42,13;36,6;5028,0;40,62;34,44;5158,0;572,34;54,04;29,33
01/10/2024;5064,0;4917,0;42,81;35,13;5031,0;41,13;33,96;5075,0;611,93;54,77;27,86
02/10/2024;5419,0;5261,0;41,16;35,6;5017,0;40,04;34,1;5336,0;585,23;54,58;27,8
03/10/2024;5727,0;5560,0;43,04;32,96;5031,0;40,27;32,71;5896,0;592,65;56,1;25,78
04/10/2024;;;;;5922,0;40,45;32,9;;702,56;54,5;26,41
05/10/2024;;;;;;;;;;;
06/10/2024;4936,0;4792,0;41,29;34,25;;;;4792,0;;;
07/10/2024;4699,0;4562,0;41,78;37,12;5030,0;39,66;33,72;4354,0;600,89;54,93;27,48
08/10/2024;4921,0;4778,0;42,1;34,54;5030,0;39,96;33,24;4132,0;590,61;54,15;28,13
09/10/2024;4821,0;4681,0;41,2;34,77;5023,0;39,25;33,36;3813,0;587,08;56,24;27,11
10/10/2024;5285,0;5131,0;44,29;35,61;5018,0;40,89;34,04;3944,0;587,53;55,08;28,08
11/10/2024;;;;;3964,0;41,17;33,64;;484,82;54,52;27,87
12/10/2024;;;;;;;;;;;
13/10/2024;4998,0;4852,0;42,4;35,77;;;;4852,0;;;
14/10/2024;5014,0;4868,0;42,45;35,78;5018,0;40,55;34,31;4720,0;586,89;57,23;26,8
15/10/2024;5221,0;5069,0;42,93;34,77;5031,0;40,61;33,64;4789,0;575,68;53,47;26,65
16/10/2024;5102,0;4953,0;42,39;36,53;5023,0;40,7;34,42;4742,0;573,85;54,36;28,57
17/10/2024;4928,0;4784,0;42,54;35,72;5026,0;40,76;34,25;4526,0;580,16;55,27;28,66
18/10/2024;;;;;4555,0;40,54;34,17;;534,6;53,19;27,56
19/10/2024;;;;;;;;;;;
20/10/2024;5167,0;5017,0;42,82;36,65;;;;5017,0;;;
21/10/2024;5685,0;5519,0;42,16;36,77;5018,0;40,45;35,2;5536,0;597,88;52,97;29,51
22/10/2024;5287,0;5133,0;41,27;34,77;5026,0;40,21;33,96;5669,0;568,65;54,04;26,95
23/10/2024;5137,0;4987,0;41,83;36,58;5025,0;39,64;34,49;5656,0;596,96;56,04;27,62
24/10/2024;5428,0;5270,0;43,14;35,65;5012,0;40,34;34,09;5926,0;600,68;53,27;28,76
25/10/2024;;;;;5950,0;40,69;34,43;;707,27;55,74;30,63
26/10/2024;;;;;;;;;;;
27/10/2024;5500,0;5340,0;41,06;36,05;;;;5340,0;;;
28/10/2024;5594,0;5431,0;41,13;35,73;5023,0;38,94;34,19;5771,0;568,38;56,37;27,93
29/10/2024;5219,0;5067,0;40,53;35,41;5022,0;39,24;34,1;5838,0;579,52;54,12;27,06
30/10/2024;4987,0;4842,0;43,88;35,56;5025,0;40,16;33,74;5680,0;591,41;59,08;28,37
31/10/2024;4816,0;4676,0;42,62;36,0;5034,0;40,39;34,22;5356,0;582,97;53,07;28,06
01/11/2024;;;;;5380,0;40,25;34,33;;642,49;55,13;28,25
02/11/2024;;;;;;;;;;;
03/11/2024;5216,0;5064,0;42,76;34,92;;;;5064,0;;;
