fecha;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct;suero_litros;suero_grasa_g_l;suero_prot_g_l;suero_es_g_l
13/02/2024;4459;4329;43,86;34,22;5025;40,79;33,74;4523;605,25;54,34;27,21;4459,0;8,84;6,26;65,34
14/02/2024;4836;4695;40,6;34,9;5023;39,67;33,38;4218;599,27;52,54;27,32;4463,0;7,72;5,83;64,75
15/02/2024;5010;4864;42,66;37,78;5034;40,38;34,71;4082;600,58;52,16;26,71;4473,0;9,48;6,88;68,37
16/02/2024;0;0;0,0;0,0;4099;40,62;34,84;0;523,31;50,61;25,64;3608,0;8,78;5,93;64,92
17/02/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18/02/2024;5156;5006;40,37;34,4;0;0,0;0,0;5006;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;4857;4716;42,99;36,12;5032;39,7;33,64;4722;617,1;52,05;27,75;4455,0;6,2;7,2;64,61
20/02/2024;5370;5214;43,01;34,71;5021;40,71;33,58;4936;634,09;52,0;27,42;4427,0;6,8;5,53;62,95
21/02/2024;5022;4876;42,44;35,8;5038;40,65;33,7;4812;614,22;52,5;27,9;4463,0;7,36;5,68;63,15
22/02/2024;6083;5906;42,63;34,63;5024;40,51;33,64;5718;598,02;52,99;26,3;4465,0;10,15;8,07;68,39
23/02/2024;0;0;0,0;0,0;5729;40,8;33,46;0;710,39;51,6;26,87;5064,0;8,28;4,79;64,71
24/02/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25/02/2024;5397;5240;43,51;35,22;0;0,0;0,0;5240;0,0;0,0;0,0;0,0;0,0;0,0;0,0
26/02/2024;4980;4835;40,8;36,24;5023;40,29;34,06;5075;620,6;50,19;25,96;4442,0;9,16;6,12;67,02
27/02/2024;4900;4757;41,33;34,59;5028;40,16;33,64;4832;598,07;51,44;27,31;4469,0;8,45;6,59;66,19
28/02/2024;4987;4842;38,72;35,85;5025;38,26;33,93;4674;629,21;53,22;26,82;4436,0;5,16;5,62;60,83
29/02/2024;5293;5139;42,22;35,73;5029;39,77;33,89;4813;602,23;51,28;27,28;4466,0;7,83;5,79;64,65
01/03/2024;0;0;0,0;0,0;4835;39,33;33,92;0;581,14;50,85;26,34;4292,0;8,49;6,17;66,83
02/03/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
03/03/2024;5353;5197;41,11;37,19;0;0,0;0,0;5197;0,0;0,0;0,0;0,0;0,0;0,0;0,0
04/03/2024;5299;5145;43,33;36,99;5018;40,3;35,47;5342;599,22;52,17;27,22;4458,0;8,57;9,13;68,71
05/03/2024;4768;4629;42,32;37,48;5029;39,83;35,44;4971;613,09;52,08;27,9;4455,0;6,41;8,35;65,89
06/03/2024;5405;5248;41,36;34,81;5025;39,78;34,5;5219;639,73;51,4;26,06;4425,0;7,38;6,47;65,48
07/03/2024;5136;4986;42,26;34,8;5019;40,32;33,96;5205;599,06;53,83;27,65;4459,0;8,08;8,5;67,51
08/03/2024;0;0;0,0;0,0;5237;40,35;33,56;0;647,95;52,3;26,88;4630,0;7,81;4,22;63,49
09/03/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10/03/2024;5298;5144;42,57;37,34;0;0,0;0,0;5144;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11/03/2024;5468;5309;41,85;36,31;5024;40,25;35,51;5453;636,67;52,58;26,93;4427,0;6,84;5,63;64,51
12/03/2024;5125;4976;41,8;35,92;5026;40,05;34,51;5429;677,71;53,35;26,88;4389,0;4,26;4,27;58,77
13/03/2024;5455;5296;39,0;34,74;5025;38,78;34,17;5725;650,0;52,6;27,75;4415,0;3,21;4,46;59,57
14/03/2024;5358;5202;42,27;36,33;5025;39,81;34,14;5927;553,37;54,25;28,19;4510,0;9,54;9,43;69,72
15/03/2024;0;0;0,0;0,0;5954;39,6;34,17;0;689,46;52,67;27,59;5310,0;8,44;9,27;68,16
16/03/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17/03/2024;5603;5440;42,62;36,05;0;0,0;0,0;5440;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18/03/2024;5039;4892;42,59;35,27;5019;40,8;34,14;5332;626,93;52,83;27,2;4432,0;7,52;5,55;64,76
19/03/2024;5122;4973;40,83;37,32;5029;40,22;34,82;5305;660,47;51,31;26,6;4409,0;5,89;5,98;61,54
20/03/2024;4797;4657;43,02;35,47;5028;40,54;34,28;4962;687,0;49,61;25,56;4382,0;6,3;2,2;59,15
21/03/2024;5260;5107;42,63;33,94;5023;40,79;33,04;5069;574,58;54,57;28,16;4487,0;9,5;7,69;67,67
22/03/2024;0;0;0,0;0,0;5097;40,5;33,45;0;666,53;50,0;26,26;4472,0;6,87;3,08;59,66
23/03/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24/03/2024;5098;4950;43,75;36,69;0;0,0;0,0;4950;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25/03/2024;5657;5492;42,56;35,28;5018;41,1;34,31;5442;622,3;53,99;28,78;4435,0;6,03;7,49;64,22
26/03/2024;5308;5153;42,66;33,29;5021;40,86;33,09;5595;617,83;52,14;26,62;4443,0;8,95;6,0;66,54
27/03/2024;5406;5249;42,48;34,86;5024;40,95;33,23;5844;633,23;52,66;28,3;4431,0;5,89;4,09;61,3
28/03/2024;5618;5454;42,15;35,54;5024;40,74;33,5;6298;605,74;52,8;26,72;4458,0;9,45;6,76;66,81
29/03/2024;0;0;0,0;0,0;6331;40,41;33,34;0;844,8;50,9;26,81;5538,0;5,23;4,1;60,39
30/03/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
31/03/2024;4758;4619;43,1;35,04;0;0,0;0,0;4619;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01/04/2024;4721;4583;39,03;36,14;5027;39,21;33,97;4202;646,58;50,66;26,33;4421,0;5,93;5,23;61,8
02/04/2024;5032;4885;42,91;36,1;5022;39,92;34,05;4087;611,11;53,74;28,41;4450,0;5,94;6,22;62,84
03/04/2024;5058;4911;44,46;34,01;5023;41,59;33,4;3998;634,15;50,18;25,67;4429,0;10,16;4,79;66,01
04/04/2024;4830;4689;41,12;35,52;5029;40,49;33,53;3687;597,95;49,8;26,6;4470,0;9,81;6,58;69,08
05/04/2024;0;0;0,0;0,0;3706;40,19;33,48;0;477,35;52,83;27,71;3258,0;5,05;4,97;60,86
06/04/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
07/04/2024;4941;4797;43,06;34,87;0;0,0;0,0;4797;0,0;0,0;0,0;0,0;0,0;0,0;0,0
08/04/2024;5150;5000;41,55;37,33;5029;40,36;34,52;4797;629,41;52,4;27,44;4439,0;6,69;6,75;62,92
09/04/2024;5158;5008;41,07;35,55;5018;39,83;34,31;4805;627,09;50,36;26,42;4431,0;7,54;7,3;64,88
10/04/2024;4971;4826;41,89;36,7;5021;39,89;34,6;4631;621,18;52,18;26,83;4439,0;7,38;6,41;65,43
11/04/2024;4936;4792;41,58;37,57;5016;40,09;35,19;4423;609,27;55,39;29,05;4446,0;5,31;9,51;66,15
12/04/2024;0;0;0,0;0,0;4454;39,53;35,38;0;553,62;50,69;26,98;3936,0;6,66;8,28;66,35
13/04/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14/04/2024;4892;4750;43,23;34,96;0;0,0;0,0;4750;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15/04/2024;5433;5275;45,69;35,73;5027;42,46;34,05;5025;630,99;51,31;26,65;4436,0;10,0;6,51;68,05
16/04/2024;4933;4789;42,17;36,35;5021;41,77;34,4;4814;645,23;49,94;26,18;4416,0;9,07;5,4;66,14
17/04/2024;5139;4989;41,88;36,34;5029;40,5;34,47;4803;610,73;52,63;27,93;4458,0;7,3;8,28;66,59
18/04/2024;5129;4980;41,94;36,15;5021;40,22;34,56;4783;593,28;53,04;27,7;4467,0;8,23;7,98;68,21
19/04/2024;0;0;0,0;0,0;4812;40,59;34,31;0;608,83;51,92;26,75;4241,0;7,52;6,14;65,69
20/04/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21/04/2024;5381;5224;40,78;35,22;0;0,0;0,0;5224;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22/04/2024;5230;5078;43,8;34,4;5018;40,49;33,34;5302;562,23;53,98;27,24;4494,0;10,9;9,62;72,03
23/04/2024;4970;4825;41,51;34,85;5030;40,09;33,47;5127;618,42;53,3;27,44;4451,0;7,01;4,92;62,94
24/04/2024;4750;4612;40,61;36,04;5033;39,47;33,48;4739;676,61;51,23;26,21;4397,0;4,77;2,16;57,58
25/04/2024;5582;5419;43,22;34,74;5026;40,22;33,45;5158;560,56;54,97;27,99;4504,0;9,85;7,85;68,67
26/04/2024;0;0;0,0;0,0;5180;40,21;33,45;0;650,56;52,04;26,55;4571,0;7,55;5,54;64,05
27/04/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28/04/2024;5152;5002;43,57;36,29;0;0,0;0,0;5002;0,0;0,0;0,0;0,0;0,0;0,0;0,0
29/04/2024;5079;4931;43,59;35,21;5018;41,75;33,98;4933;628,93;51,98;26,21;4429,0;9,91;6,49;67,48
30/04/2024;4838;4697;41,61;34,35;5021;40,93;33,53;4630;695,05;51,97;27,38;4367,0;3,44;1,06;55,26
01/05/2024;5022;4876;40,28;37,22;5027;39,64;34,68;4506;629,59;51,26;26,54;4437,0;7,06;5,83;65,03
02/05/2024;4913;4770;42,88;36,6;5023;40,28;34,88;4276;583,99;53,1;27,79;4478,0;8,77;9,16;69,73
03/05/2024;0;0;0,0;0,0;4297;40,33;34,33;0;518,79;51,87;26,51;3812,0;9,21;7,51;67,77
04/05/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
05/05/2024;5149;4999;45,68;34,52;0;0,0;0,0;4999;0,0;0,0;0,0;0,0;0,0;0,0;0,0
06/05/2024;4606;4472;41,7;35,93;5028;41,69;33,61;4471;657,01;53,95;27,9;4412,0;5,84;5,17;63,01
07/05/2024;4866;4724;42,17;35,53;5030;41,38;33,76;4195;631,96;50,75;26,74;4438,0;8,69;6,26;65,62
08/05/2024;5215;5063;41,19;35,7;5026;40,21;33,95;4258;612,76;53,55;27,26;4453,0;7,69;6,79;65,29
09/05/2024;4651;4516;43,76;35,67;5022;40,72;33,78;3774;670,06;51,34;26,76;4393,0;5,62;2,48;59,15
10/05/2024;0;0;0,0;0,0;3794;41,43;34,01;0;492,27;50,41;25,62;3332,0;9,06;4,48;63,97
11/05/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12/05/2024;5086;4938;43,13;35,38;0;0,0;0,0;4938;0,0;0,0;0,0;0,0;0,0;0,0;0,0
13/05/2024;5317;5162;42,2;34,57;5036;40,47;33,34;5100;625,38;52,27;26,95;4450,0;7,74;4,07;63,76
14/05/2024;5279;5125;43,39;35,29;5023;40,77;33,28;5225;620,56;51,98;27,69;4442,0;7,28;5,14;63,06
15/05/2024;5354;5198;41,71;34,83;5029;40,33;33,34;5423;630,51;51,98;26,57;4438,0;7,87;5,53;63,61
16/05/2024;5013;4867;44,11;36,42;5026;41,5;33,97;5290;641,47;52,56;26,32;4425,0;8,83;5,58;65,22
17/05/2024;0;0;0,0;0,0;5326;40,64;34,34;0;704,49;53,95;26,68;4665,0;6,02;3,74;60,91
18/05/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/05/2024;5301;5147;44,87;36,33;0;0,0;0,0;5147;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20/05/2024;4464;4334;41,94;35,16;5029;41,7;34,43;4481;659,4;52,92;27,8;4410,0;5,88;3,87;60,98
21/05/2024;4837;4696;43,47;36,22;5023;41,07;34,46;4177;664,55;54,06;28,07;4399,0;4,41;3,92;60,46
22/05/2024;5203;5051;45,22;35,75;5030;42,64;34,01;4228;583,56;51,73;27,15;4485,0;12,28;8,02;70,65
23/05/2024;5494;5334;38,93;36,02;5027;39,45;34,47;4562;596,69;51,3;26,61;4469,0;8,68;6,89;66,94
24/05/2024;0;0;0,0;0,0;4586;39,24;34,2;0;568,34;51,67;26,49;4054,0;7,16;6,93;66,69
25/05/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
26/05/2024;4980;4835;43,76;34,88;0;0,0;0,0;4835;0,0;0,0;0,0;0,0;0,0;0,0;0,0
27/05/2024;5320;5165;42,23;35,77;5024;41,1;33,82;5000;596,49;53,64;27,73;4467,0;8,98;7,56;67,97
28/05/2024;4956;4812;41,83;34,78;5025;40,08;33,57;4812;592,7;51,2;26,82;4471,0;9,25;7,92;68,07
29/05/2024;5273;5119;42,03;33,25;5030;40,37;32,43;4931;596,23;54,57;28,13;4473,0;7,73;6,25;65,11
30/05/2024;4582;4449;41,48;35,36;5029;40,35;33,24;4380;629,24;49,84;26,94;4440,0;7,38;4,53;63,28
31/05/2024;0;0;0,0;0,0;4397;40,16;33,38;0;531,02;51,33;27,23;3900,0;8,08;6,15;64,99
01/06/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
02/06/2024;4845;4704;43,47;34,95;0;0,0;0,0;4704;0,0;0,0;0,0;0,0;0,0;0,0;0,0
03/06/2024;4740;4602;41,55;35,74;5018;40,78;33,64;4306;622,52;51,27;25,48;4435,0;10,23;5,31;66,52
04/06/2024;5476;5317;41,72;33,2;5024;40,09;32,72;4623;656,23;50,79;26,43;4408,0;6,3;3,77;60,15
05/06/2024;4406;4278;38,62;36,48;5029;37,94;33,97;3901;596,71;54,11;28,18;4471,0;5,0;7,62;63,9
06/06/2024;5282;5128;41,61;33,67;5026;38,98;32,9;4029;610,98;53,24;28,24;4454,0;5,16;5,66;62,94
07/06/2024;0;0;0,0;0,0;4047;39,04;32,9;0;497,48;52,7;26,81;3581,0;6,68;5,61;62,76
08/06/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
09/06/2024;5371;5215;39,36;36,11;0;0,0;0,0;5215;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10/06/2024;4828;4687;40,45;36,51;5026;38,09;34,56;4902;640,25;51,33;27,23;4426,0;3,79;5,48;60,06
11/06/2024;5061;4914;42,01;34,96;5020;39,02;33,99;4816;613,82;52,65;26,75;4446,0;6,95;7,31;64,83
12/06/2024;5440;5282;41,01;36,14;5028;39,15;34,14;5098;656,91;49,42;25,5;4412,0;6,47;4,03;61,9
13/06/2024;5377;5220;40,49;35,15;5028;38,84;33,86;5318;649,4;50,79;26,01;4419,0;5,8;4,82;61,81
14/06/2024;0;0;0,0;0,0;5341;39,41;33,85;0;689,81;50,88;26,78;4694,0;5,39;4,72;61,65
15/06/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16/06/2024;5437;5279;41,65;36,73;0;0,0;0,0;5279;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17/06/2024;5149;4999;42,18;36,99;5029;40,09;35,09;5278;621,09;52,64;27,49;4448,0;6,8;7,01;65,06
18/06/2024;5489;5329;43,56;35,54;5015;41,21;34,73;5607;624,8;52,35;27,25;4430,0;8,05;8,07;67,04
19/06/2024;4732;4594;40,58;38,03;5025;40,06;35,18;5201;679,52;52,82;27,23;4387,0;3,61;4,03;59,21
20/06/2024;4609;4475;39,4;35,91;5024;39,09;34,75;4676;663,53;51,81;27,48;4401,0;3,13;4,1;57,88
21/06/2024;0;0;0,0;0,0;4704;39,05;34,6;0;588,08;52,01;27,55;4153,0;5,15;7,73;64,13
22/06/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2024;5677;5512;40,38;35,15;0;0,0;0,0;5512;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2024;4310;4184;42,28;34,76;5019;39,31;33,69;4696;619,71;51,95;26,75;4439,0;6,95;5,77;62,62
25/06/2024;5226;5074;40,64;34,65;5027;38,65;33,11;4770;622,88;52,03;27,46;4444,0;5,16;3,94;58,62
26/06/2024;5596;5433;44,11;34,41;5026;41,04;33,0;5203;656,13;51,86;26,67;4410,0;6,99;2,15;60,96
27/06/2024;5302;5148;41,03;34,79;5026;39,51;33,09;5351;584,71;52,03;26,76;4480,0;9,2;6,89;67,33
28/06/2024;0;0;0,0;0,0;5375;39,84;32,97;0;664,78;53,48;26,93;4753,0;7,21;4,25;63,18
29/06/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
30/06/2024;5097;4949;39,75;36,21;0;0,0;0,0;4949;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01/07/2024;5329;5174;40,82;36,64;5023;38,86;34,84;5123;635,69;51,05;26,36;4427,0;6,11;6,71;63,77
02/07/2024;4785;4646;43,2;35,54;5028;39,76;33,99;4769;628,85;53,08;27,24;4439,0;6,34;6,25;63,42
03/07/2024;5571;5409;42,73;36,31;5028;40,12;34,64;5178;643,11;52,36;27,72;4425,0;5,19;5,51;61,59
04/07/2024;5013;4867;38,76;36,38;5027;38,65;34,87;5045;589,29;52,75;27,36;4477,0;7,27;8,86;67,42
05/07/2024;0;0;0,0;0,0;5068;38,83;34,4;0;652,72;51,92;26,65;4456,0;4,99;4,92;61,33
06/07/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
07/07/2024;5385;5228;39,79;34,49;0;0,0;0,0;5228;0,0;0,0;0,0;0,0;0,0;0,0;0,0
08/07/2024;4693;4556;41,53;35,89;5025;38,35;33,35;4784;632,68;53,52;26,92;4432,0;4,91;4,28;62,07
09/07/2024;5076;4928;41,19;35,82;5020;38,85;34,25;4712;605,82;53,6;27,79;4453,0;5,88;7,85;64,06
10/07/2024;4911;4768;39,27;37,47;5026;38,59;34,99;4480;651,44;50,71;27,68;4415,0;3,01;5,66;61,03
11/07/2024;4501;4370;44,14;37,72;5020;40,08;35,57;3850;643,2;50,43;25,74;4417,0;7,9;6,46;64,76
12/07/2024;0;0;0,0;0,0;3870;39,99;35,34;0;494,41;51,35;26,34;3407,0;7,06;6,4;64,18
13/07/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14/07/2024;5055;4908;41,49;36,17;0;0,0;0,0;4908;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15/07/2024;4915;4772;41,44;34,78;5023;39,78;34,31;4680;587,34;52,14;26,26;4474,0;10,02;8,42;69,62
16/07/2024;4804;4664;43,71;35,58;5021;40,8;34,2;4344;611,25;50,76;26,19;4449,0;9,89;7,24;68,3
17/07/2024;5179;5028;43,69;36,28;5026;41,3;34,15;4372;622,77;53,56;27,97;4443,0;7,39;6,06;66,15
18/07/2024;4941;4797;42,45;36,08;5020;41,01;33,98;4169;597,74;51,67;27,32;4461,0;9,46;6,76;66,16
19/07/2024;0;0;0,0;0,0;4187;40,68;34,57;0;541,05;51,74;26,98;3680,0;6,48;4,89;62,64
20/07/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21/07/2024;5152;5002;42,74;38,08;0;0,0;0,0;5002;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22/07/2024;4798;4658;44,34;35,02;5028;41,19;34,83;4660;657,74;51,13;27,6;4411,0;5,68;5,83;62,79
23/07/2024;5106;4957;39,54;36,16;5035;39,43;34,56;4617;638,14;51,58;26,37;4437,0;6,71;4,99;62,25
24/07/2024;5937;5764;40,73;36,37;5023;38,99;34,74;5381;634,18;53,08;27,62;4429,0;4,56;6,0;61,31
25/07/2024;5373;5217;43,04;35,42;5023;40,37;33,96;5598;677,62;51,55;26,14;4386,0;5,75;3,44;60,07
26/07/2024;0;0;0,0;0,0;5624;40,13;34,52;0;742,57;49,71;26,26;4927,0;6,16;4,47;61,47
27/07/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28/07/2024;4581;4448;43,41;36,19;0;0,0;0,0;4448;0,0;0,0;0,0;0,0;0,0;0,0;0,0
29/07/2024;4986;4841;42,49;37,47;5029;40,52;35,18;4289;617,55;51,56;26,95;4451,0;8,23;8,26;66,57
30/07/2024;4839;4698;42,39;35,98;5023;40,84;34,68;3987;613,75;53,26;27,85;4449,0;7,54;7,77;66,16
31/07/2024;5278;5124;38,66;35,71;5018;38,66;34,47;4111;675,41;50,91;27,02;4384,0;2,56;3,38;56,22
01/08/2024;4802;4662;42,74;35,38;5028;40,04;33,98;3773;661,78;49,99;26,19;4407,0;6,24;4,59;60,79
02/08/2024;0;0;0,0;0,0;3794;39,96;33,89;0;527,24;51,25;26,68;3298,0;3,25;1,99;55,81
03/08/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
04/08/2024;5103;4954;44,09;35,0;0;0,0;0,0;4954;0,0;0,0;0,0;0,0;0,0;0,0;0,0
