fecha;dia_semana;semana;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;envio_fab_litros;envio_fab_grasa_g_l;envio_fab_prot_g_l;ratio_perdida_mg;ratio_perdida_mp;ratio_inc_agua;stock_cierre_litros
09/02/2024;Viernes;6;0;0;0,0;0,0;3970;35,32;30,88;0,05448;0,03591;0,0056;0
10/02/2024;Sábado;6;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
11/02/2024;Domingo;7;5308;5153;37,15;32,8;0;0,0;0,0;0,0;0,0;0,0;5153
12/02/2024;Lunes;7;5457;5298;34,18;30,81;5034;34,06;30,22;0,03786;0,04297;0,00679;5451
13/02/2024;Martes;7;5256;5103;37,33;31,52;5021;34,54;30,44;0,04856;0,03462;0,00421;5554
14/02/2024;Miércoles;7;5107;4958;36,54;32,93;5022;35,21;30,54;0,03099;0,049;0,00449;5512
15/02/2024;Jueves;7;5327;5172;37,33;33,34;5025;35,03;31,47;0,04598;0,03524;0,00506;5684
16/02/2024;Viernes;7;0;0;0,0;0,0;5710;35,43;31,44;0,03546;0,03663;0,00452;0
17/02/2024;Sábado;7;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
18/02/2024;Domingo;8;5193;5042;37,4;32,61;0;0,0;0,0;0,0;0,0;0,0;5042
19/02/2024;Lunes;8;4901;4758;34,93;32,92;5019;34,7;31,45;0,03762;0,03644;0,00386;4800
20/02/2024;Martes;8;4969;4824;34,38;32,29;5023;33,68;31,2;0,04107;0,03632;0,00464;4624
21/02/2024;Miércoles;8;5095;4947;38,29;32,19;5024;35,14;30,88;0,04147;0,04087;0,00482;4571
22/02/2024;Jueves;8;5104;4955;36,1;31,84;5024;35,01;30,77;0,03509;0,0365;0,00474;4526
23/02/2024;Viernes;8;0;0;0,0;0,0;4555;34,68;30,71;0,04253;0,03682;0,00639;0
24/02/2024;Sábado;8;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
25/02/2024;Domingo;9;4945;4801;36,52;32,43;0;0,0;0,0;0,0;0,0;0,0;4801
26/02/2024;Lunes;9;4718;4581;35,57;32,19;5020;34,57;30,85;0,03741;0,04129;0,00402;4382
27/02/2024;Martes;9;5424;5266;35,89;31,98;5025;34,17;31,05;0,04532;0,02869;0,00504;4648
28/02/2024;Miércoles;9;4232;4109;39,03;31,17;5025;35,71;30,25;0,04043;0,04025;0,00505;3757
29/02/2024;Jueves;9;4638;4503;36,74;30,41;5018;35,52;29,83;0,03775;0,03395;0,00369;3260
01/03/2024;Viernes;9;0;0;0,0;0,0;3274;35,1;30,0;0,04848;0,02786;0,00425;0
02/03/2024;Sábado;9;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
03/03/2024;Domingo;10;5544;5383;37,84;30,45;0;0,0;0,0;0,0;0,0;0,0;5383
04/03/2024;Lunes;10;5425;5267;35,27;34,08;5021;34,86;30,86;0,04268;0,03895;0,00426;5650
05/03/2024;Martes;10;5415;5257;40,14;33,46;5030;36,27;31,42;0,04713;0,03729;0,00593;5907
06/03/2024;Miércoles;10;4709;4572;36,27;31,4;5026;35,64;30,87;0,04231;0,03663;0,00525;5479
07/03/2024;Jueves;10;5284;5130;37,42;32,22;5020;35,52;30,89;0,04686;0,03711;0,00399;5609
08/03/2024;Viernes;10;0;0;0,0;0,0;5637;35,78;30,55;0,03883;0,04681;0,00507;0
09/03/2024;Sábado;10;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
10/03/2024;Domingo;11;5242;5089;38,79;33,27;0;0,0;0,0;0,0;0,0;0,0;5089
11/03/2024;Lunes;11;4904;4761;38,6;32,0;5030;36,58;31,41;0,04906;0,03222;0,00606;4850
12/03/2024;Martes;11;5029;4883;35,76;29,74;5025;35,85;29,94;0,03198;0,03527;0,00499;4733
13/03/2024;Miércoles;11;4689;4552;38,56;32,73;5023;36,34;30,21;0,03635;0,04999;0,00462;4285
14/03/2024;Jueves;11;4450;4320;36,45;31,27;5029;35,55;30,03;0,03786;0,04432;0,00577;3605
15/03/2024;Viernes;11;0;0;0,0;0,0;3625;35,68;30,64;0,0346;0,02534;0,00565;0
16/03/2024;Sábado;11;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
17/03/2024;Domingo;12;5546;5384;38,0;30,72;0;0,0;0,0;0,0;0,0;0,0;5384
18/03/2024;Lunes;12;5505;5345;38,49;30,12;5016;36,61;28,94;0,03958;0,04545;0,00314;5729
19/03/2024;Martes;12;5332;5177;36,57;31,81;5038;35,72;29,88;0,03888;0,03139;0,00765;5906
20/03/2024;Miércoles;12;5026;4880;35,58;32,4;5030;34,72;30,23;0,04569;0,03991;0,00593;5786
21/03/2024;Jueves;12;5236;5083;35,85;32,35;5020;34,78;30,49;0,0366;0,04318;0,00392;5869
22/03/2024;Viernes;12;0;0;0,0;0,0;5902;34,44;30,47;0,04469;0,04234;0,00562;0
23/03/2024;Sábado;12;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
24/03/2024;Domingo;13;5125;4976;36,35;34,11;0;0,0;0,0;0,0;0,0;0,0;4976
25/03/2024;Lunes;13;4837;4696;39,51;32,8;5033;36,0;32,14;0,04348;0,03347;0,00653;4672
26/03/2024;Martes;13;5151;5001;38,45;32,5;5032;36,51;31,35;0,0375;0,04317;0,00648;4673
27/03/2024;Miércoles;13;4937;4793;37,64;31,52;5015;36,61;30,52;0,03144;0,05059;0,0029;4466
28/03/2024;Jueves;13;4715;4578;35,43;30,55;5024;35,36;29,86;0,03061;0,04407;0,00484;4044
29/03/2024;Viernes;13;0;0;0,0;0,0;4063;35,23;30,36;0,0343;0,02811;0,00469;0
30/03/2024;Sábado;13;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
31/03/2024;Domingo;14;5363;5207;36,36;34,6;0;0,0;0,0;0,0;0,0;0,0;5207
01/04/2024;Lunes;14;4863;4721;37,38;33,08;5027;35,53;32,26;0,03052;0,04258;0,00535;4928
02/04/2024;Martes;14;5189;5038;37,93;32,26;5025;35,82;31,56;0,03736;0,04048;0,00501;4966
03/04/2024;Miércoles;14;4759;4620;36,36;32,43;5024;35,13;31,04;0,04316;0,04773;0,00476;4586
04/04/2024;Jueves;14;5092;4944;36,83;32,19;5020;35,05;31,15;0,04529;0,0366;0,00398;4530
05/04/2024;Viernes;14;0;0;0,0;0,0;4552;35,46;30,83;0,03336;0,04555;0,00482;0
06/04/2024;Sábado;14;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
07/04/2024;Domingo;15;5437;5279;35,36;32,31;0;0,0;0,0;0,0;0,0;0,0;5279
08/04/2024;Lunes;15;5140;4990;36,25;32,03;5027;34,14;31,06;0,04104;0,02944;0,00532;5269
09/04/2024;Martes;15;5003;4857;38,69;32,82;5016;35,5;30,84;0,04224;0,04762;0,00325;5126
10/04/2024;Miércoles;15;4700;4563;38,64;31,61;5012;36,13;30,89;0,04365;0,03452;0,00233;4689
11/04/2024;Jueves;15;5474;5315;38,91;32,5;5031;36,79;30,81;0,03666;0,04027;0,00622;5004
12/04/2024;Viernes;15;0;0;0,0;0,0;5028;36,5;30,86;0,04554;0,03987;0,00487;0
13/04/2024;Sábado;15;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
14/04/2024;Domingo;16;4962;4817;37,25;31,97;0;0,0;0,0;0,0;0,0;0,0;4817
15/04/2024;Lunes;16;4822;4682;35,69;33,39;5022;34,91;31,01;0,03896;0,04674;0,00439;4499
16/04/2024;Martes;16;5573;5411;36,45;30,62;5032;35,08;30,21;0,03186;0,03636;0,00645;4910
17/04/2024;Miércoles;16;5054;4907;34,39;32,72;5018;33,77;30,73;0,04342;0,04027;0,00351;4817
18/04/2024;Jueves;16;5114;4965;36,62;32,18;5016;34,7;30,75;0,03398;0,04076;0,00318;4782
19/04/2024;Viernes;16;0;0;0,0;0,0;4815;34,46;30,77;0,03694;0,03663;0,00689;0
20/04/2024;Sábado;16;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
21/04/2024;Domingo;17;4937;4793;39,55;34,37;0;0,0;0,0;0,0;0,0;0,0;4793
22/04/2024;Lunes;17;5207;5055;37,8;29,82;5022;36,65;30,5;0,04765;0,04365;0,00441;4848
23/04/2024;Martes;17;5072;4924;34,97;33,63;5020;35,63;31,38;0,02784;0,04059;0,00399;4772
24/04/2024;Miércoles;17;4926;4783;35,92;32,48;5028;34,33;31,13;0,05058;0,04145;0,00562;4555
25/04/2024;Jueves;17;4843;4702;35,27;30,98;5030;33,96;30,12;0,04578;0,04744;0,00596;4257
26/04/2024;Viernes;17;0;0;0,0;0,0;4280;34,28;30,18;0,03728;0,046;0,0054;0
27/04/2024;Sábado;17;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
28/04/2024;Domingo;18;5510;5350;38,08;32,13;0;0,0;0,0;0,0;0,0;0,0;5350
29/04/2024;Lunes;18;5469;5310;37,99;31,93;5027;36,56;30,63;0,03365;0,03856;0,00533;5660
30/04/2024;Martes;18;4925;4782;38,25;31,05;5021;36,75;30,14;0,03225;0,04161;0,00424;5442
01/05/2024;Miércoles;18;4424;4295;36,8;31,25;5027;35,79;29,99;0,04167;0,04093;0,00547;4737
02/05/2024;Jueves;18;5322;5167;36,99;31,32;5029;35,7;30,0;0,0361;0,03838;0,00577;4904
03/05/2024;Viernes;18;0;0;0,0;0,0;4928;35,96;30,04;0,02994;0,03809;0,0049;0
04/05/2024;Sábado;18;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
05/05/2024;Domingo;19;5364;5208;38,24;33,81;0;0,0;0,0;0,0;0,0;0,0;5208
06/05/2024;Lunes;19;4908;4765;35,43;33,4;5022;35,37;32,55;0,03707;0,02731;0,00445;4973
07/05/2024;Martes;19;5043;4896;35,11;31,79;5027;34,15;31,23;0,04662;0,04018;0,00538;4869
08/05/2024;Miércoles;19;4887;4745;35,49;32,83;5028;33,7;31,03;0,05207;0,0478;0,00569;4614
09/05/2024;Jueves;19;5264;5111;35,31;33,29;5023;33,96;31,14;0,03935;0,0531;0,00454;4725
10/05/2024;Viernes;19;0;0;0,0;0,0;4754;34,27;31,33;0,02915;0,04604;0,00614;0
11/05/2024;Sábado;19;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
12/05/2024;Domingo;20;5292;5138;35,28;31,1;0;0,0;0,0;0,0;0,0;0,0;5138
13/05/2024;Lunes;20;5203;5051;36,16;32,85;5027;34,31;30,8;0,03428;0,03143;0,0053;5189
14/05/2024;Martes;20;4907;4764;33,03;34,38;5039;32,68;31,69;0,04341;0,03597;0,00771;4953
15/05/2024;Miércoles;20;4932;4788;40,3;32,58;5025;35,43;31,4;0,04572;0,03969;0,00505;4741
16/05/2024;Jueves;20;5654;5489;35,23;33,63;5027;34,4;31,64;0,04447;0,04384;0,00542;5230
17/05/2024;Viernes;20;0;0;0,0;0,0;5263;34,44;31,96;0,04255;0,03327;0,00632;0
18/05/2024;Sábado;20;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
19/05/2024;Domingo;21;5180;5029;37,64;32,21;0;0,0;0,0;0,0;0,0;0,0;5029
20/05/2024;Lunes;21;4221;4098;34,62;32,0;5024;34,94;30,64;0,03243;0,04136;0,00488;4127
21/05/2024;Martes;21;5437;5279;35,59;31,92;5024;34,37;30,74;0,03786;0,03505;0,00471;4406
22/05/2024;Miércoles;21;5009;4863;37,23;31,48;5027;34,64;30,41;0,04839;0,03633;0,0053;4269
23/05/2024;Jueves;21;5002;4856;35,91;32,56;5015;35,01;30,8;0,03069;0,03973;0,00309;4125
24/05/2024;Viernes;21;0;0;0,0;0,0;4143;34,89;30,74;0,03291;0,04018;0,00447;0
25/05/2024;Sábado;21;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
26/05/2024;Domingo;22;4942;4798;37,5;32,38;0;0,0;0,0;0,0;0,0;0,0;4798
27/05/2024;Lunes;22;5547;5385;38,98;30,45;5014;36,95;30,05;0,03209;0,03898;0,00275;5183
28/05/2024;Martes;22;5557;5395;35,74;31,84;5025;35,63;30,56;0,03195;0,02818;0,005;5578
29/05/2024;Miércoles;22;5079;4931;36,12;32,26;5027;34,73;30,43;0,04536;0,0413;0,00545;5509
30/05/2024;Jueves;22;5705;5539;38,62;33,03;5021;36,16;31,03;0,03448;0,04039;0,00423;6048
31/05/2024;Viernes;22;0;0;0,0;0,0;6072;35,94;31,16;0,04044;0,03654;0,00398;0
01/06/2024;Sábado;22;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
02/06/2024;Domingo;23;5022;4876;38,56;32,27;0;0,0;0,0;0,0;0,0;0,0;4876
03/06/2024;Lunes;23;4646;4511;37,47;33,34;5024;36,65;31,36;0,03175;0,03885;0,00485;4387
04/06/2024;Martes;23;4815;4675;37,81;32,68;5022;36,37;31,08;0,03677;0,04619;0,00437;4062
05/06/2024;Miércoles;23;5204;5052;39,7;32,52;5025;37,14;31,26;0,04072;0,03676;0,00505;4114
06/06/2024;Jueves;23;4847;4706;37,61;34,05;5021;36,56;31,66;0,03937;0,04758;0,00417;3820
07/06/2024;Viernes;23;0;0;0,0;0,0;3846;36,5;31,91;0,03826;0,03748;0,0069;0
08/06/2024;Sábado;23;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
09/06/2024;Domingo;24;5393;5236;38,38;32,25;0;0,0;0,0;0,0;0,0;0,0;5236
10/06/2024;Lunes;24;5183;5032;37,36;31,82;5027;36,24;30,86;0,03803;0,03177;0,00536;5268
11/06/2024;Martes;24;5247;5094;35,79;32,37;5023;35,42;30,63;0,03437;0,04456;0,00455;5362
12/06/2024;Miércoles;24;5832;5662;35,8;31,09;5025;34,65;30,33;0,04104;0,0363;0,00506;6024
13/06/2024;Jueves;24;4748;4610;34,99;33,03;5034;34,19;30,67;0,03693;0,0423;0,00677;5634
14/06/2024;Viernes;24;0;0;0,0;0,0;5656;34,29;30,87;0,03682;0,03882;0,00389;0
15/06/2024;Sábado;24;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
16/06/2024;Domingo;25;4788;4649;38,31;31,03;0;0,0;0,0;0,0;0,0;0,0;4649
17/06/2024;Lunes;25;4999;4853;35,85;31,16;5035;35,2;29,87;0,0432;0,03285;0,00707;4502
18/06/2024;Martes;25;4955;4811;38,31;33,25;5019;36,03;30,87;0,04064;0,03789;0,00372;4313
19/06/2024;Miércoles;25;4924;4781;37,3;31,82;5026;35,85;30,45;0,03876;0,04363;0,00523;4094
20/06/2024;Jueves;25;5303;5149;36,65;32,7;5019;35,28;31,0;0,04345;0,03955;0,00375;4243
21/06/2024;Viernes;25;0;0;0,0;0,0;4267;35,29;30,96;0,04124;0,03897;0,00559;0
22/06/2024;Sábado;25;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
