fecha;receta;litros_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;mg_salida_salmuera;ph_salida_salmuera;est_salida_salmuera;peso_queso_total;sal_queso;est_kg_entrada;mg_kg_entrada;coef_recup_mp;coef_recup_mg;mp_kg_recuperado;mg_kg_recuperado;est_kg_recuperado;kg_queso_por_mg;kg_queso_por_est;kg_queso_estimado;rendimiento_simple;rendimiento_por_mg
2022-04-01;vaca barra 4,2 kg;15340;15946,8;12,6;4,92;3,84;3,84;6,61;6,5;6,48;barra;6,38;5,67;5,45;32,51;5,36;59,02;2261,0;1,36;1932,84;754,7280000000001;0,9682183320471228;0,968767832432382;592,8953893435797;760,0783460154493;715,3668133435797;2337,983223671022;1212,0752513445943;1212,0752513445943;6,784608580274215;6,561210467504403
2022-04-05;light 3 kg;14530;14508,35;10,260000000000002;2,4;3,33;4,53;6,57;6,46;;3 kg;6,45;5,54;5,35;20,98;5,22;52,04;1633,0;1,49;1490,7780000000002;348,72;0,9145544725656891;0,9145855817754065;441,84692352221225;318,45906540842924;573,2925745222122;1517,917375635983;1101,6383061533672;1101,6383061533672;8,89773423147581;9,572326025922303
2022-04-08;oveja do barra 4,2 kg;10850;10994,12;14,85;6,08;4,8;3,97;6,55;6,47;6,42;barra;6,4;5,85;5,6;31,0;5,38;57,45;1951,0;1,56;1611,225;659,68;0,9301440392078227;0,9294586646094571;490,85352884810436;621,2896697003725;578,1468416481043;2004,1602248399115;1006,3478531733757;1006,3478531733757;5,561250640697079;5,413738814653243
2022-04-08;vaca barra 4,2 kg;15830;16452,76;12,67;4,85;3,85;3,97;6,6;6,48;6,41;barra;6,42;5,65;5,29;31,01;5,31;56,63;2346,0;1,9;2005,661;767,755;0,968835322448066;0,9709123591337578;613,6905790307846;774,7481192542839;744,3254934307847;2498,38155193255;1314,3660487917793;1314,3660487917793;6,74765558397272;6,336101860724662
2022-04-12;light 3 kg;14530;14665,92;10,77;2,55;3,49;4,73;6,58;6,48;;3 kg;6,38;5,3;5,19;20,27;5,43;52,48;1465,0;1,74;1564,881;370,515;0,9151539386638471;0,9145009633407754;468,41294837929826;342,00594819110796;607,1525515792982;1687,2518411006806;1156,9217827349435;1156,9217827349435;9,918088737201366;8,61163677292024
2022-04-13;iqm + mini sin lactosa;9020;9227,15;13,170000000000002;5,07;3,91;4,19;6,55;6,48;6,39;500 g;6,42;5,88;5,65;29,43;5,74;55,37;832,0;1,61;1187,9340000000002;457,314;;;;;;;;;10,841346153846153;
2022-04-15;vaca barra 4,2 kg;14050;14584,98;12,64;4,64;3,95;4,05;6,56;6,47;6,4;barra;6,36;5,62;5,39;31,31;5,43;58,68;2155,0;1,17;1775,92;651,92;0,9685658064991652;0,9688779055533286;557,9972602007307;655,6814101970855;676,1355982007307;2094,1597259568366;1152,2419873904748;1152,2419873904748;6,5197215777262185;6,709134850533167
2022-04-19;oveja do barra 4,2 kg;11940;12114,63;15,180000000000001;6,12;4,91;4,15;6,54;6,44;6,39;barra;6,42;6,1;5,69;31,37;5,46;58,34;2244,0;0,96;1812,4920000000002;730,7280000000001;0,9299546007390912;0,9298892675177984;553,1633449233141;689,4341823172878;653,714773923314;2197,7500233257497;1120,5258380584744;1120,5258380584744;5,320855614973262;5,432828972028298
2022-04-19;light 3 kg;12780;12877,99;9,63;2,4;3,33;3,9;6,62;6,47;;3 kg;6,34;5,36;5,27;20,17;5,44;52,14;1354,0;1,16;1230,7140000000002;306,72;0,9148007445386712;0,916175770657217;392,3004681773801;283,1640579063824;492,7487901773801;1403,8872479245533;945,0494633244729;945,0494633244729;9,438700147710488;9,103295167680598
2022-04-22;vaca barra 4,2 kg;13910;14382,29;12,76;4,97;3,93;3,86;6,6;6,48;;barra;6,4;5,69;5,33;30,34;5,46;55,13;2228,0;1,59;1774,9160000000002;691,327;0,9687994720603111;0,9691272981279545;547,588709889419;692,7320114750571;658,619988689419;2283,2300971491663;1194,6671298556485;1194,6671298556485;6,243267504488331;6,092246251206999
2022-04-29;light 3 kg;15350;15663,47;10,16;2,48;3,27;4,41;6,59;6,45;6,4;3 kg;6,34;5,28;5,03;21,36;5,41;50,48;1967,0;1,45;1559,56;380,68;0,9151364001205642;0,914696169879066;468,728717658724;355,3174371971882;606,8805230587241;1663,4711479269113;1202,21973664565;1202,21973664565;7,803762074224708;9,227692358313412
2022-04-29;madurado barra 4,2 kg;15440;15709,1;12,45;4,54;3,6;4,31;;;;barra;6,25;5,3;5,22;30,59;5,2;57,45;2108,0;1,44;1922,28;700,9760000000001;0,9597785493953148;0,9588366853012659;542,7812595710138;683,8357463372016;678,1937015710139;2235,4878925701264;1180,49382344824;1180,49382344824;7,324478178368121;6,906769681605714
2022-05-03;vaca barra 4,2 kg;13790;14315,49;12,719999999999999;4,93;3,92;3,87;6,61;6,45;6,39;barra;6,38;5,52;5,17;33,15;5,35;57,77;2168,0;1,25;1754,088;679,847;0,9678238955176419;0,9675996516238892;543,1110332833188;682,8869926454857;653,9129258833187;2059,9909280406814;1131,9247462061949;1131,9247462061949;6,36070110701107;6,69420423764491
2022-05-06;light 3 kg;15130;16025,31;10,42;2,41;3,42;4,59;6,62;6,45;6,39;3 kg;6,42;5,31;5,16;19,7;5,44;50,26;1714,0;1,77;1576,546;364,63300000000004;0,9142943185361405;0,91416846194519;501,09326609368964;353,0609751769664;648,2056118936896;1792,1876912536368;1289,7047590403695;1289,7047590403695;8,827304550758459;8,442196134834825
2022-05-06;oveja normal barra 4,2 kg;11780;12171,48;13,61;5,36;4,34;3,91;6,58;6,47;6,43;barra;6,39;5,8;5,52;30,25;5,24;56,12;2002,0;1,67;1603,2579999999998;631,408;0,9772701521049841;0,9799195642035025;516,2353664149163;639,2910258239043;611,4163400149163;2113,3587630542293;1089,4802922575132;1089,4802922575132;5,884115884115884;5,574065419434761
2022-05-10;iqm + barra 4,2 sin lactosa;13910;14047,38;13,4;5,07;4,07;4,26;6,66;6,49;6,4;barra;6,35;5,5;5,38;29,97;5,44;56,72;2157,0;1,76;1863,94;705,237;;;;;;;;;6,448771441817339;
2022-05-10;iqm+ 3 kg;14840;14707,58;13,32;5,09;4,01;4,22;6,59;6,48;6,4;3 kg;6,37;5,4;5,27;30,28;5,36;56,95;2300,0;1,2;1976,688;755,3559999999999;0,9713813885731757;0,9718218384633306;572,8954462663378;727,5212044387775;697,0274214663377;2402,6459855970197;1223,9287470875113;1223,9287470875113;6,452173913043478;6,176523752962504
2022-05-13;vaca barra 4,2 kg;13390;13742,96;12,56;4,83;3,91;3,82;6,56;6,48;6,41;barra;6,36;5,7;5,52;30,89;5,4;56,85;2097,0;1,25;1681,7839999999999;646,7370000000001;0,9695843954571292;0,9693638338953311;521,0059189286079;643,4491414625696;626,0021333286079;2083,0338020801864;1101,1471122754756;1101,1471122754756;6,385312350977587;6,428124203567077
2022-05-17;iqm + barra 4,2 sin lactosa;12530;12698,69;13,33;5,0;3,99;4,34;6,54;6,41;6,41;barra;6,35;;;30,27;5,45;56,74;1909,0;1,48;1670,249;626,5;;;;;;;;;6,5636458878994235;
2022-05-17;oveja normal barra 4,2 kg;11130;11253,11;14,05;5,65;4,56;3,84;6,54;6,49;6,43;barra;6,37;5,47;5,18;31,6;5,5;57,95;1857,0;1,35;1563,765;628,845;0,9778793978557225;0,9783172712966118;501,7908100446719;622,0148205872349;588,2146948446718;1968,4013309722623;1015,0382999908055;1015,0382999908055;5,993537964458804;5,65433472578608
2022-05-20;oveja do barra 4,2 kg;11030;11287,58;16,26;6,61;5,26;4,39;6,54;6,48;6,42;barra;6,41;6,0;5,6;31,59;5,37;58,44;2193,0;1,34;1793,478;729,0830000000001;0,9294629127000054;0,9296307071309003;551,8469553654656;693,6058725926958;650,9519077654656;2195,650119001886;1113,8807456630143;1113,8807456630143;5,029639762881897;5,0235690579945835
2022-05-20;madurado barra 4,2 kg;14090;14550,54;11,78;4,3;3,54;3,94;6,57;6,41;6,34;3 kg;6,2;5,1;4,98;32,52;5,2;58,39;1732,0;1,29;1659,802;605,87;0,9604387429372266;0,9611277171945716;494,7115430716874;601,351873648377;609,3697982716874;1849,1755032237913;1043,62013747506;1043,62013747506;8,135103926096997;7,619612078699919
2022-05-20;oveja normal barra 4,2 kg;11450;11275,17;14,16;5,77;4,41;3,98;6,58;6,43;6,38;barra;6,38;5,51;5,24;32,87;5,39;57,25;1925,0;1,4;1621,32;660,665;0,9778102211197628;0,9799911153838742;486,2014623650546;637,5599826903492;575,9518155650546;1939,6409573786104;1006,0293721660342;1006,0293721660342;5,9480519480519485;5,903154373206507
2022-05-24;iqm + barra 4,2 sin lactosa;13030;13592,29;13,379999999999999;5,1;4,0;4,28;6,56;6,46;6,4;barra;6,39;5,7;5,31;30,02;5,46;56,76;2028,0;1,57;1743,414;664,53;;;;;;;;;6,425049309664694;
2022-05-25;iqm + mini sin lactosa;9910;10046,51;12,36;4,66;3,68;4,02;6,55;6,47;6,38;500 g;6,41;5,8;5,5;29,56;5,54;54,4;1438,0;1,77;1224,876;461,806;;;;;;;;;6,891515994436718;
2022-05-25;light mini;12320;13021,82;9,95;2,45;3,34;4,16;6,62;6,47;;500 g;6,36;5,53;5,24;21,26;5,58;52,67;1322,0;1,76;1225,84;301,84000000000003;0,9421644769612364;0,9420710892732503;409,77445406140447;300,55326371714483;518,1159964614045;1413,7030278322898;983,7022906045272;983,7022906045272;9,319213313161876;8,714701572713576
2022-05-27;oveja do barra 4,2 kg;11680;12425,0;15,100000000000001;6,1;4,95;4,05;6,58;6,5;6,44;barra;6,47;6,1;5,8;32,06;5,39;58,99;2195,0;1,2;1763,6800000000003;712,48;0,9300192202360498;0,9312796261605523;571,9966961659295;705,8401106577365;672,6391961659295;2201,622303985454;1140,2596985352257;1140,2596985352257;5,3211845102505695;5,305178812395048
2022-05-30;iqm+ 3 kg;12080;12550,32;12,93;4,97;3,92;4,04;6,57;6,44;6,36;3 kg;6,35;5,49;5,33;31,03;5,41;57,14;2234,0;1,26;1561,944;600,376;0,9720979579643519;0,9722906626402699;478,2455053969273;606,4671797726273;579,6520909969273;1954,4543337822342;1014,4418813386897;1014,4418813386897;5,40734109221128;6,18075326253489
