semana_iso;receta;total_est_kg_cuba;total_mg_kg_cuba;total_esm_kg_cuba;total_est_kg_queso;total_mg_kg_queso;total_esm_kg_queso;total_balance_est;total_balance_mg;total_balance_esm
2022-W15;light;1579,5195840000001;373,98096;1205,5386240000003;793,1510000000001;296,9555;496,1955000000001;-786,368584;-77,02546000000001;-709,3431240000002
2022-W15;vaca;1843,541472;676,743072;1166,7984000000001;1199,904;631,6305;568,2735;-643,6374720000001;-45,112572;-598,5249000000001
2022-W16;light;1240,150437;309,07176;931,078677;669,9592;273,1018;396,8574;-570,191237;-35,96995999999996;-534,221277
2022-W16;oveja;1839,0008339999997;741,415356;1097,5854779999997;1230,6096;674,7708;555,8388;-608,3912339999997;-66,64455599999997;-541,7466779999997
2022-W16;vaca;1835,180204;714,799813;1120,3803910000001;1206,0164;653,6952;552,3212;-629,163804;-61,10461299999997;-568,0591910000002
2022-W17;i+D;1955,7829499999998;713,19314;1242,58981;1101,891;586,7162000000001;515,1748;-853,8919499999997;-126,4769399999999;-727,4150099999999
2022-W17;light;1591,4085519999999;388,454056;1202,9544959999998;887,117;385,53200000000004;501,5849999999999;-704,2915519999999;-2,922055999999941;-701,3694959999999
2022-W18;light;1669,837302;386,209971;1283,627331;861,4564;337,65799999999996;523,7984000000001;-808,3809019999999;-48,55197100000004;-759,8289309999998
2022-W18;oveja;1656,5384279999998;652,391328;1004,1470999999998;1092,091;605,605;486,4859999999999;-564,447428;-46,786328000000026;-517,6610999999999
2022-W18;vaca;1820,9303280000001;705,753657;1115,1766710000002;1209,0936;675,5488;533,5447999999999;-611,8367280000002;-30,204856999999947;-581,6318710000003
2022-W19;mezcla;3841,3985759999996;1460,8179880000002;2380,580588;2487,3004;1356,482;1130,8183999999999;-1354,098176;-104,33598800000016;-1249,762188
2022-W19;vaca;1726,1157759999999;663,7849679999999;1062,330808;1150,2045;630,1485;520,056;-575,9112759999998;-33,63646799999992;-542,2748079999999
2022-W20;i+D;1714,0536120000002;625,67322;1088,380392;1011,3148;563,2464000000001;448,0683999999999;-702,7388120000002;-62,42681999999991;-640,3119920000001
2022-W20;mezcla;1692,7353770000002;634,9345000000001;1057,8008770000001;1066,5583;577,8543;488,70399999999995;-626,1770770000003;-57,080200000000104;-569,0968770000002
2022-W20;oveja;5012,986535;2032,4870620000002;2980,4994730000003;3406,3224;1873,8282;1532,4942000000003;-1606,6641350000002;-158,6588620000001;-1448,0052730000002
2022-W21;light;1295,6710899999998;319,03459000000004;976,6364999999998;696,2974;281,0572;415,2402;-599,3736899999998;-37,977390000000014;-561,3962999999999
2022-W21;mezcla;3060,397038;1161,374156;1899,0228820000002;1914,5228;1054,1584;860,3643999999999;-1145,8742380000003;-107,21575600000011;-1038,658482
2022-W21;oveja;1876,175;757,925;1118,25;1272,8805;703,7170000000001;569,1634999999999;-603,2945;-54,207999999999856;-549,0865000000001
2022-W22;mezcla;1622,7563759999998;623,750904;999,0054719999998;1087,958;585,308;502,6500000000001;-534,7983759999997;-38,442904;-496,35547199999974
